filters_id,bpm,key,lastModified,genre_id
1,105,D# Minor,1/6/2023,14
2,104,F# Minor,1/4/2023,5
3,106,A Minor,1/4/2023,3
4,87,D# Major,1/12/2023,2
5,129,G# Major,1/6/2023,3
6,135,A# Major,1/3/2023,5
7,103,D Minor,1/7/2023,12
8,124,F Major,1/3/2023,2
9,113,A# Major,1/1/2023,13
10,123,F Major,1/4/2023,6
11,143,D# Major,1/5/2023,13
12,150,C# Minor,1/6/2023,5
13,106,F Major,1/10/2023,9
14,138,G Minor,1/6/2023,15
15,146,A# Major,1/8/2023,2
16,125,G# Major,1/12/2023,12
17,128,B Major,1/6/2023,13
18,122,A Major,1/9/2023,2
19,83,C Minor,1/9/2023,1
20,128,C# Minor,1/12/2023,2
21,113,F Major,1/10/2023,9
22,137,A Minor,1/3/2023,3
23,127,D Major,1/4/2023,14
24,85,C# Major,1/5/2023,10
25,137,C# Minor,1/6/2023,6
26,135,B Minor,1/11/2023,1
27,135,F Minor,1/3/2023,9
28,123,F# Minor,1/6/2023,4
29,113,D Major,1/10/2023,5
30,120,F Minor,1/2/2023,3
31,85,G Major,1/1/2023,9
32,118,E Major,1/3/2023,6
33,113,E Minor,1/2/2023,6
34,114,C# Minor,1/8/2023,13
35,101,G Major,1/7/2023,6
36,88,B Major,1/9/2023,3
37,112,G Minor,1/12/2023,10
38,109,C Major,1/10/2023,11
39,136,A Minor,1/11/2023,10
40,160,A# Minor,1/12/2023,4
41,124,G# Minor,1/5/2023,10
42,114,B Minor,1/9/2023,4
43,93,E Minor,1/6/2023,15
44,119,D Major,1/14/2023,4
45,156,C Minor,1/8/2023,3
46,127,E Minor,1/13/2023,4
47,110,D Minor,1/3/2023,2
48,159,D Major,1/7/2023,4
49,104,E Minor,1/11/2023,10
50,125,E Major,1/9/2023,14
51,123,C Minor,1/10/2023,10
52,105,F# Minor,1/2/2023,6
53,131,A Major,1/4/2023,5
54,136,C# Minor,1/3/2023,11
55,80,C Major,1/11/2023,8
56,97,C# Major,1/13/2023,12
57,150,E Major,1/3/2023,5
58,140,E Major,1/9/2023,7
59,117,C# Major,1/1/2023,13
60,98,D Major,1/6/2023,14
61,122,C Minor,1/11/2023,4
62,128,A# Major,1/9/2023,14
63,126,B Major,1/9/2023,4
64,102,D Major,1/2/2023,10
65,156,G# Major,1/9/2023,3
66,106,D# Minor,1/9/2023,4
67,119,C Major,1/12/2023,4
68,135,A# Major,1/10/2023,10
69,116,C# Major,1/13/2023,13
70,128,G# Major,1/10/2023,14
71,89,G# Minor,1/8/2023,4
72,143,D# Minor,1/10/2023,7
73,136,C Major,1/2/2023,10
74,137,G Major,1/11/2023,13
75,143,A Minor,1/9/2023,8
76,123,A# Major,1/14/2023,3
77,121,C# Minor,1/13/2023,7
78,90,C# Minor,1/4/2023,3
79,128,A# Minor,1/1/2023,10
80,108,F# Major,1/8/2023,7
81,129,A# Minor,1/10/2023,6
82,113,D Minor,1/5/2023,10
83,99,F Minor,1/2/2023,3
84,105,F Major,1/10/2023,6
85,111,C# Minor,1/11/2023,3
86,118,A Major,1/2/2023,13
87,138,G Major,1/13/2023,3
88,121,C# Minor,1/1/2023,6
89,117,F# Major,1/6/2023,14
90,113,B Minor,1/1/2023,13
91,129,G Major,1/5/2023,2
92,105,C Major,1/10/2023,14
93,159,G# Major,1/14/2023,1
94,124,F Major,1/10/2023,4
95,110,E Minor,1/10/2023,3
96,102,D# Minor,1/3/2023,10
97,111,G# Major,1/6/2023,15
98,113,D# Major,1/3/2023,3
99,148,G# Minor,1/6/2023,1
100,143,B Major,1/4/2023,13
101,91,C# Minor,1/7/2023,12
102,116,C# Major,1/13/2023,8
103,123,B Minor,1/11/2023,15
104,119,C# Major,1/11/2023,4
105,94,C# Minor,1/9/2023,15
106,130,F Major,1/11/2023,3
107,83,F# Major,1/11/2023,10
108,136,E Minor,1/14/2023,1
109,133,C# Minor,1/6/2023,5
110,89,F# Major,1/13/2023,6
111,126,C# Major,1/1/2023,9
112,125,G# Minor,1/3/2023,11
113,110,D# Minor,1/6/2023,9
114,76,E Minor,1/1/2023,11
115,161,F# Minor,1/7/2023,6
116,112,A# Minor,1/8/2023,13
